Year,White,African American,Asian,Hispanic,American Indian,Pacific Islander,Two or More Races,Not Specified,Total,# Students,Full-time Teachers,Student/Teacher ratio,% Free/Discounted Lunch,Avg Standard Score,Statewide Rank,Total # Ranked High Schools,TX State Percentile,SchoolDigger Rating,High School,Unnamed: 0,Unnamed: 1,Unnamed: 2
1988,1474.0,7.0,31.0,30.0,,,,0.0,1542.0,1542.0,110.0,14.0,,,,,,,Westlake High School,,,
1989,1378.0,9.0,39.0,34.0,0.0,,,0.0,1460.0,1460.0,,,,,,,,,Westlake High School,,,
1990,1342.0,9.0,44.0,40.0,0.0,,,0.0,1435.0,1435.0,99.0,14.4,,,,,,,Westlake High School,,,
1991,1365.0,7.0,53.0,52.0,1.0,,,0.0,1478.0,1478.0,98.7,14.9,,,,,,,Westlake High School,,,
1992,1356.0,7.0,66.0,45.0,4.0,,,0.0,1478.0,1478.0,98.4,15.0,1.3,,,,,,Westlake High School,,,
1993,1478.0,7.0,82.0,58.0,18.0,,,0.0,1643.0,1643.0,107.0,15.4,1.2,,,,,,Westlake High School,,,
1994,1594.0,8.0,80.0,69.0,41.0,,,0.0,1792.0,1792.0,108.0,16.6,0.8,,,,,,Westlake High School,,,
1995,1761.0,12.0,92.0,78.0,26.0,,,0.0,1969.0,1969.0,126.8,15.5,0.7,,,,,,Westlake High School,,,
1996,1761.0,12.0,92.0,78.0,26.0,,,0.0,1969.0,1969.0,126.8,15.5,0.7,,,,,,Westlake High School,,,
1997,1785.0,15.0,98.0,91.0,15.0,,,0.0,2004.0,2004.0,126.9,15.8,1.3,,,,,,Westlake High School,,,
1998,1909.0,13.0,123.0,94.0,3.0,,,0.0,2142.0,2142.0,136.6,15.7,1.0,,,,,,Westlake High School,,,
1999,1971.0,12.0,121.0,85.0,5.0,,,0.0,2194.0,2194.0,145.2,15.1,1.5,,,,,,Westlake High School,,,
2000,2027.0,9.0,132.0,114.0,10.0,,,0.0,2292.0,2292.0,157.0,14.6,1.7,,,,,,Westlake High School,,,
2001,2098.0,7.0,145.0,101.0,9.0,,,0.0,2360.0,2360.0,157.5,15.0,2.1,,,,,,Westlake High School,,,
2002,2065.0,8.0,157.0,132.0,9.0,,,0.0,2371.0,2371.0,151.3,15.7,2.2,,,,,,Westlake High School,,,
2003,2065.0,8.0,157.0,132.0,9.0,,,0.0,2371.0,2371.0,151.3,15.7,2.2,,,,,,Westlake High School,,,
2004,2032.0,11.0,168.0,130.0,9.0,,,0.0,2350.0,2350.0,136.8,17.2,1.8,,,,,,Westlake High School,,,
2005,2060.0,11.0,171.0,135.0,10.0,,,0.0,2387.0,2387.0,136.4,17.5,2.7,84.4,39,1427.0,0.973,,Westlake High School,,,
2006,2024.0,11.0,180.0,133.0,19.0,,,0.0,2367.0,2367.0,149.5,15.8,2.4,88.27,20,1429.0,0.986,,Westlake High School,,,
2007,2032.0,14.0,190.0,137.0,15.0,,,0.0,2388.0,2388.0,153.6,15.5,2.5,87.21,26,1430.0,0.982,,Westlake High School,,,
2008,2054.0,21.0,205.0,156.0,14.0,,,0.0,2450.0,2450.0,172.0,14.2,2.2,85.8,46,1497.0,0.969,,Westlake High School,,,
2009,2010.0,25.0,209.0,178.0,17.0,,,0.0,2439.0,2439.0,173.6,14.0,2.6,86.21,41,1510.0,0.973,,Westlake High School,,,
2010,2031.0,25.0,216.0,194.0,13.0,,,0.0,2479.0,2479.0,176.8,14.0,2.3,85.3,25,1539.0,0.984,,Westlake High School,,,
2011,1912.0,23.0,229.0,289.0,19.0,2.0,90.0,0.0,2564.0,2564.0,178.5,14.3,2.4,82.05,41,1568.0,0.974,,Westlake High School,,,
2012,1885.0,24.0,232.0,322.0,9.0,1.0,89.0,0.0,2562.0,2562.0,168.4,15.2,2.8,81.13,57,1672.0,0.966,,Westlake High School,,,
2013,1832.0,25.0,244.0,355.0,7.0,2.0,92.0,0.0,2557.0,2557.0,169.8,15.0,3.2,73.91,180,1603.0,0.888,,Westlake High School,,,
2014,1844.0,28.0,256.0,371.0,7.0,2.0,99.0,0.0,2607.0,2607.0,177.0,14.7,3.2,87.18,18,1652.0,0.989,,Westlake High School,,,
